gruppe,navn,pnu,addr,raw,værdi,status,område
Varme,Input type,11109,11108,0,OFF,ok,OFF | IM1 | IM2 | IM3 | IM4 | EM1 | EM2 | EM3 | EM4 | EM5
Varme,Intgr. tid 11112,11112,11111,0,OFF,OFF,OFF 1 … 50 s
Varme,Filter konstant,11113,11112,10,10,ok,1 … 50
Varme,Puls,11114,11113,0,OFF,OFF,OFF 1 … 9999
Varme,Enheder,11115,11114,0,"ml, l/h",ok,"ml, l/h | l, l/h | ml, m³/h | l, m³/h | Wh, kW | kWh, kW | kWh, MW | MWh, MW | GWh, GW"
Varme,Øvre grænse Y2 flow,11116,11115,9999,999.9,ok,0.0 … 999.9
Varme,Nedre grænse Y1 flow,11117,11116,9999,999.9,ok,0.0 … 999.9
Varme,Lav ude T X2 flow,11118,11117,65521,-15 °C,ok,-60 … 20 °C
Varme,Høj ude T X1 flow,11119,11118,15,15 °C,ok,-60 … 20 °C
Varme,Ekst. overstyring,11141,11140,0,OFF,ok,OFF | S1 | S2 | S3 | S4 | S5 | S6 | S7 | S8 | S9 | S10 | S11 | S12 | S13 | S14 | S15 | S16
Varme,Ekst. drift,11142,11141,0,COMFORT,ok,COMFORT | SAVING | FROST PR. | CONST. T
Varme,Øvre differens,11147,11146,0,OFF,OFF,OFF 1 … 30 K
Varme,Nedre differens,11148,11147,0,OFF,OFF,OFF 1 … 30 K
Varme,Forsinkelse 11149,11149,11148,10,10 min,ok,1 … 99 min
Varme,Annullerings T,11150,11149,30,30 °C,ok,10 … 50 °C
Varme,Motorbeskyttelse,11174,11173,9,OFF,OFF,OFF 10 … 59 min
Varme,Varmekurve hældning,11175,11174,12,1.2,ok,0.1 … 4.0
Varme,Min. temperatur,11177,11176,28,28 °C,ok,10 … 150 °C
Varme,Maks. temperatur,11178,11177,70,70 °C,ok,10 … 150 °C
Varme,Varme-udkobling,11179,11178,20,20 °C,ok,OFF 1 … 50 °C
Varme,Ønsket rum komfort,11180,11179,200,20.0 °C,ok,5.0 … 40.0 °C
Varme,Ønsket rum spare,11181,11180,170,17.0 °C,ok,5.0 … 40.0 °C
Varme,Maks. forstærkn. 11182,11182,11181,65496,-4.0,ok,-9.9 … 0.0
Varme,Min. forstærkn. 11183,11183,11182,0,0.0,ok,0.0 … 9.9
Varme,Xp,11184,11183,40,40 K,ok,5 … 250 K
Varme,Tn,11185,11184,500,500 s,ok,1 … 999 s
Varme,Motor-køretid,11186,11185,70,70 s,ok,5 … 250 s
Varme,Neutralzone,11187,11186,1,1 K,ok,1 … 9 K
Varme,Min. køretid,11189,11188,5,5 x20ms,ok,2 … 50 x20ms
Varme,Sommer start mm,11392,11391,5,5,ok,1 … 12
Varme,Sommer start dd,11393,11392,20,20,ok,1 … 31
Varme,Sommer filter,11395,11394,250,250,ok,OFF 1 … 300
Varme,Vinter start mm,11396,11395,5,5,ok,1 … 12
Varme,Vinter start dd,11397,11396,20,20,ok,1 … 31
Varme,Vinter udk. T,11398,11397,20,20 °C,ok,OFF 1 … 50 °C
Varme,Vinter filter,11399,11398,250,250,ok,OFF 1 … 300
Varme,Send ønsket T,11500,11499,1,ON,ok,OFF | ON
Varme,Kreds Estrich,11910,11909,1,ON,ok,OFF | ON
VV,Pumpe-motion,12022,12021,0,OFF,ok,OFF | ON
VV,Ventil-motion,12023,12022,0,OFF,ok,OFF | ON
VV,Motortype,12024,12023,1,GEAR,ok,ABV | GEAR
VV,Grænse retur,12030,12029,60,60 °C,ok,10 … 120 °C
VV,Maks. forstærkn.,12035,12034,65516,-2.0,ok,-9.9 … 9.9
VV,Min. forstærkn.,12036,12035,0,0.0,ok,-9.9 … 9.9
VV,Intgr. tid 12037,12037,12036,25,25 s,ok,OFF 1 … 50 s
VV,Pumpe efterløb,12040,12039,3,3 min,ok,0 … 99 min
VV,Pumpe frost T,12077,12076,2,2 °C,ok,-10 … 20 °C
VV,Pumpe start T,12078,12077,20,20 °C,ok,5 … 80 °C
VV,Prioritet,12085,12084,0,OFF,ok,OFF | ON
VV,Frostbeskyt. T,12093,12092,10,10 °C,ok,5 … 40 °C
VV,Åbne-tid,12094,12093,,n/a,findes ikke,OFF 0.1 … 25.0 s
VV,Lukke-tid,12095,12094,,n/a,findes ikke,OFF 0.1 … 25.0 s
VV,Tn tomgang,12096,12095,,n/a,findes ikke,1 … 999 s
VV,Forsyn. T tomgang,12097,12096,,n/a,findes ikke,OFF | ON
VV,Input type,12109,12108,0,OFF,ok,OFF | IM1 | IM2 | IM3 | IM4 | EM1 | EM2 | EM3 | EM4 | EM5
VV,Grænse 12111,12111,12110,9999,999.9,ok,0.0 … 999.9
VV,Intgr. tid 12112,12112,12111,0,OFF,OFF,OFF 1 … 50 s
VV,Filter konstant,12113,12112,10,10,ok,1 … 50
VV,Puls,12114,12113,0,OFF,OFF,OFF 1 … 9999
VV,Enheder,12115,12114,0,"ml, l/h",ok,"ml, l/h | l, l/h | ml, m³/h | l, m³/h | Wh, kW | kWh, kW | kWh, MW | MWh, MW | GWh, GW"
VV,Anti-bakt. dag,12122,12121,0,0,ok,0 … 127
VV,Anti-bakt. start,12123,12122,0,0,ok,0 … 47
VV,Anti-bakt. varighed,12124,12123,120,120 min,ok,10 … 600 min
VV,Anti-bakt. ønsket T,12125,12124,9,OFF,OFF,OFF 10 … 110 °C
VV,Ekst. overstyring,12141,12140,0,OFF,ok,OFF | S1 | S2 | S3 | S4 | S5 | S6 | S7 | S8 | S9 | S10 | S11 | S12 | S13 | S14 | S15 | S16
VV,Ekst. drift,12142,12141,0,COMFORT,ok,COMFORT | SAVING | FROST PR.
VV,Øvre differens,12147,12146,0,OFF,OFF,OFF 1 … 30 K
VV,Nedre differens,12148,12147,0,OFF,OFF,OFF 1 … 30 K
VV,Forsinkelse,12149,12148,10,10 min,ok,1 … 99 min
VV,Annullerings T,12150,12149,30,30 °C,ok,10 … 50 °C
VV,Autotuning,12173,12172,0,OFF,ok,OFF | ON
VV,Motorbeskyttelse,12174,12173,9,OFF,OFF,OFF 10 … 59 min
VV,Min. temperatur,12177,12176,10,10 °C,ok,10 … 150 °C
VV,Maks. temperatur,12178,12177,90,90 °C,ok,10 … 150 °C
VV,Xp,12184,12183,35,35 K,ok,5 … 250 K
VV,Tn,12185,12184,600,600 s,ok,1 … 999 s
VV,Motor-køretid,12186,12185,70,70 s,ok,5 … 250 s
VV,Neutralzone,12187,12186,3,3 K,ok,1 … 9 K
VV,Min. køretid,12189,12188,3,3 x20ms,ok,2 … 50 x20ms
VV,Ønsket VV komfort,12190,12189,530,53.0 °C,ok,10.0 … 110.0 °C
VV,Ønsket VV spare,12191,12190,450,45.0 °C,ok,10.0 … 110.0 °C
VV,Send ønsket T,12500,12499,1,ON,ok,OFF | ON
